Planet Name,Host Name,Planet Letter,Number of Stars,Number of Planets,Number of Moons,Circumbinary Flag,Discovery Method,Solution Type,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Planet Mass*sin(i) [Earth Mass],Planet Mass*sin(i)/sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) Provenance,Planet Density [g/cm**3],Eccentricity,Insolation Flux [Earth Flux],Equilibrium Temperature [K],Time Reference Frame and Standard,Ratio of Planet to Stellar Radius,Epoch of Periastron [days],Argument of Periastron [deg],Radial Velocity Amplitude [m/s],Projected Obliquity [deg],True Obliquity [deg],Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Metallicity [dex],Stellar Metallicity Ratio,Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr],Stellar Density [g/cm**3],Stellar Rotational Velocity [km/s],Stellar Rotational Period [days],Systemic Radial Velocity [km/s],Distance [pc],Parallax [mas],B (Johnson) Magnitude,V (Johnson) Magnitude,J (2MASS) Magnitude,H (2MASS) Magnitude,Ks (2MASS) Magnitude,u (Sloan) Magnitude,g (Sloan) Magnitude,r (Sloan) Magnitude,i (Sloan) Magnitude,z (Sloan) Magnitude,W1 (WISE) Magnitude,W2 (WISE) Magnitude,W3 (WISE) Magnitude,W4 (WISE) Magnitude,Gaia Magnitude
Kepler-1889 b,Kepler-1889,b,1,1,0,0,Transit,Published Confirmed,37.30369949,2.944,,,,,,,,,,,,,,,,,,5646.0,0.82,0.86,-0.28,[Fe/H],,4.55,,0.073,,,,1395.13,0.689873,17.039,15.715,14.197,13.791,13.731,,,,,,13.669,13.8,12.828,9.477,15.5173
Kepler-189 b,Kepler-189,b,1,2,0,0,Transit,Published Confirmed,10.39990194,1.39,,,,,,,,,,JD,0.01616,,,,,,,5169.0,0.8,0.83,-0.02,[Fe/H],,4.57,5.13,,,,,591.534,1.66183,16.113,14.971,13.408,12.941,12.921,,,,,,12.862,12.911,12.675,9.405,14.8213
Kepler-189 b,Kepler-189,b,1,2,0,0,Transit,Published Confirmed,10.399931,1.21,,,,,,,,,,BJD,,,,,,,,5235.0,0.75,,,,,4.62,,,,,,591.534,1.66183,16.113,14.971,13.408,12.941,12.921,,,,,,12.862,12.911,12.675,9.405,14.8213
Kepler-189 b,Kepler-189,b,1,2,0,0,Transit,Published Confirmed,10.39975603,,,,,,,,,,,BJD,,,,,,,,5073.0,0.77,0.85,,,-0.448,4.59,,2.5932,,,,591.534,1.66183,16.113,14.971,13.408,12.941,12.921,,,,,,12.862,12.911,12.675,9.405,14.8213
Kepler-189 b,Kepler-189,b,1,2,0,0,Transit,Published Confirmed,10.4,,,,,,,,,,,,,,,,,,,,0.76,0.84,,,,,,,,,,591.534,1.66183,16.113,14.971,13.408,12.941,12.921,,,,,,12.862,12.911,12.675,9.405,14.8213
Kepler-189 b,Kepler-189,b,1,2,0,0,Transit,Published Confirmed,,1.382,,,,,,,,45.39,,,,,,,,,,5045.0,0.76,,,,,,,,,,,591.534,1.66183,16.113,14.971,13.408,12.941,12.921,,,,,,12.862,12.911,12.675,9.405,14.8213
Kepler-189 c,Kepler-189,c,1,2,0,0,Transit,Published Confirmed,20.13486027,,,,,,,,,,,BJD,,,,,,,,5073.0,0.77,0.85,,,-0.448,4.59,,2.5932,,,,591.534,1.66183,16.113,14.971,13.408,12.941,12.921,,,,,,12.862,12.911,12.675,9.405,14.8213
Kepler-189 c,Kepler-189,c,1,2,0,0,Transit,Published Confirmed,,2.743,,,,,,,,18.81,,,,,,,,,,5045.0,0.76,,,,,,,,,,,591.534,1.66183,16.113,14.971,13.408,12.941,12.921,,,,,,12.862,12.911,12.675,9.405,14.8213
Kepler-189 c,Kepler-189,c,1,2,0,0,Transit,Published Confirmed,20.134866,2.38,,,,,,,,,,BJD,,,,,,,,5235.0,0.75,,,,,4.62,,,,,,591.534,1.66183,16.113,14.971,13.408,12.941,12.921,,,,,,12.862,12.911,12.675,9.405,14.8213
Kepler-189 c,Kepler-189,c,1,2,0,0,Transit,Published Confirmed,20.13491661,,,,,,,,,,,BJD,,,,,,,,5073.0,0.77,0.85,,,-0.448,4.59,,2.5932,,,,591.534,1.66183,16.113,14.971,13.408,12.941,12.921,,,,,,12.862,12.911,12.675,9.405,14.8213
